country	last5y
China	238
United States	198
United Kingdom	143
Germany	85
Italy	71
South Korea	63
Japan	56
France	46
Netherlands	42
Canada	34
Denmark	34
Spain	25
Belgium	23
India	23
Switzerland	22
Brazil	21
Turkey	17
Australia	16
Sweden	15
Israel	12
Hong Kong	12
Singapore	11
Norway	10
Finland	7
Russia	5
Taiwan	5
South Africa	4
Czech Republic	4
Austria	3
New Zealand	3
Greece	2
Thailand	2
Ireland	2
Chile	2
United Arab Emirates	2
Saudi Arabia	2
Malaysia	2
Iran	2
Mexico	2
Colombia	2
Pakistan	1
Poland	1
Egypt	1
