country	total
United States	676
China	322
United Kingdom	293
Germany	203
South Korea	187
Italy	163
Japan	131
France	103
Netherlands	91
Canada	86
Denmark	53
Sweden	52
Switzerland	50
Turkey	50
Spain	47
India	46
Brazil	41
Australia	37
England	32
Israel	29
Finland	23
Hong Kong	20
Norway	19
Singapore	17
Taiwan	11
New Zealand	11
Egypt	9
Iran	9
Russia	8
Russia (Federation)	7
Ireland	7
Saudi Arabia	6
South Africa	4
Poland	3
United Arab Emirates	3
Romania	2
Serbia	1
Hungary	1
Korea (South)	1
Georgia (Republic)	1
Cyprus	1
Nigeria	1
Czech Republic	1
Pakistan	1
